county,school_type,employment_body,teachers,centroid,year
Baringo        ,Public ,TSC    ,1172,"(0.669252, 35.946465)",12/31/2014 12:00:00 AM
Bomet          ,Public ,TSC    ,1379,"(-0.726295, 35.298598)",12/31/2014 12:00:00 AM
Bungoma        ,Public ,TSC    ,2946,"(0.749285, 34.640461)",12/31/2014 12:00:00 AM
Busia          ,Public ,TSC    ,1182,"(0.387444, 34.193631)",12/31/2014 12:00:00 AM
Elgeyo Marakwet,Public ,TSC    ,1087,"(0.802219, 35.536563)",12/31/2014 12:00:00 AM
Embu           ,Public ,TSC    ,1491,"(-0.603974, 37.626501)",12/31/2014 12:00:00 AM
Garissa        ,Public ,TSC    ,347,"(-0.48891, 40.199279)",12/31/2014 12:00:00 AM
Homa Bay       ,Public ,TSC    ,2069,"(-0.542809, 34.358997)",12/31/2014 12:00:00 AM
Isiolo         ,Public ,TSC    ,180,"(1.010443, 38.542153)",12/31/2014 12:00:00 AM
Kajiado        ,Public ,TSC    ,753,"(-2.121384, 36.908842)",12/31/2014 12:00:00 AM
Kakamega       ,Public ,TSC    ,3558,"(0.403683, 34.744511)",12/31/2014 12:00:00 AM
Kericho        ,Public ,TSC    ,1551,"(-0.295733, 35.31407)",12/31/2014 12:00:00 AM
Kiambu         ,Public ,TSC    ,4288,"(-1.068706, 36.823564)",12/31/2014 12:00:00 AM
Kilifi         ,Public ,TSC    ,1081,"(-3.175732, 39.686688)",12/31/2014 12:00:00 AM
Kirinyaga      ,Public ,TSC    ,1478,"(-0.524746, 37.319868)",12/31/2014 12:00:00 AM
Kisii          ,Public ,TSC    ,3863,"(-0.774604, 34.774723)",12/31/2014 12:00:00 AM
Kisumu         ,Public ,TSC    ,2213,"(-0.169459, 34.835203)",12/31/2014 12:00:00 AM
Kitui          ,Public ,TSC    ,2292,"(-1.491039, 38.406921)",12/31/2014 12:00:00 AM
Kwale          ,Public ,TSC    ,710,"(-4.18315, 39.190412)",12/31/2014 12:00:00 AM
Laikipia       ,Public ,TSC    ,1029,"(0.323604, 36.771728)",12/31/2014 12:00:00 AM
Lamu           ,Public ,TSC    ,210,"(-2.078683, 40.882861)",12/31/2014 12:00:00 AM
